,Comment ID,Trust,Respondent ID,Date,Service type 1,Service type 2,FFT categorical answer,FFT question,FFT answer
298,NEAS PTS 1428 - Q1,NEAS,NEAS PTS 1428,31/05/2022,PTS  - Patient Transport,,1,FFT Why?,"Everything that was done, I could ask for no better."
7799,NEAS 111 2542 - Q2,NEAS,NEAS 111 2542,24/08/2022,111,,4,How could we improve?,"When I arrived at the hospital following my call there was no record of this call taking place, they sent me to the wrong part of the hospital. It would have been quicker to go straight to A&E. "
4273,NEAS S&C 6262 - Q2,NEAS,NEAS S&C 6262,9/14/2022,See and Convey,,1,How could we improve?,Nothing
877,NEAS S&C 5599 - Q1,NEAS,NEAS S&C 5599,27/07/2022,See and Convey,,2,FFT Why?,"Crew were excellent, response time not so much."
3654,NEAS PTS 1551 - Q2,NEAS,NEAS PTS 1551,30/06/2022,PTS  - Patient Transport,,1,How could we improve?,Because everything was very good.
2341,NEAS 111 2631 - Q1,NEAS,NEAS 111 2631,07/09/2022,111,,3,FFT Why?,Try & understand that sometimes a person with mental health issues needs someone else to speak for them
3282,NEAS 111 2657 - Q1,NEAS,NEAS 111 2657,14/09/2022,111,,1,FFT Why?,Nothing. 
4361,NEAS PTS 718 - Q1,NEAS,NEAS PTS 718,31/10/2021,PTS  - Patient Transport,,1,FFT Why?,Service doesn't need anything else done. Spot on.
2971,NEAS 111 1513 - Q1,NEAS,NEAS 111 1513,31/01/2022,111,,2,FFT Why?,Items marked with a cross are not applicable as doctor who called me back arranged an ambulance to go to A&E - no advice given on telephone. Problem resolved itself.
5215,NHFT 1803 - Q1,NHFT,NHFT 1803,09/05/2022,Local partnerships- MH,Adult mental health,3,What could we do better?,I don't feel I gained anything from this service. Treatment plans were changed frequently but no treatment actually happened. I found this to be stressful and not helpful to the point I discharged myself. I have now paid for private treatment which has been successful. It's a shame I couldn't get the help I needed with the NHS.
1189,NHFT 884 - Q2,NHFT,NHFT 884,24/10/2021,Community health services,Specialist Services and CYP,1,What was good?,Staff very helpful
7509,NEAS PTS 1426 - Q2,NEAS,NEAS PTS 1426,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,"Punctual, polite, and clean cars."
6989,NHFT 1205 - Q1,NHFT,NHFT 1205,05/12/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,Nothing
691,NEAS S&C 4018 - Q1,NEAS,NEAS S&C 4018,08/04/2022,See and Convey,,2,FFT Why?,I was kept waiting quite a long time as they weren’t sure whether it was a full emergency. I was in severe pain and couldn’t walk it was an emergency to me.
5795,NEAS 111 1363 - Q1,NEAS,NEAS 111 1363,16/12/2021,111,,2,FFT Why?,Less queuing time
6559,NEAS S&C 5438 - Q2,NEAS,NEAS S&C 5438,16/07/2022,See and Convey,,1,How could we improve?,I am most grateful and I am very apologetic for having to call for help.+
6174,NEAS 111 2767 - Q2,NEAS,NEAS 111 2767,30/09/2022,111,,1,How could we improve?,The person asked all the right question and listened to my answers.
7395,NEAS PTS 1078 - Q2,NEAS,NEAS PTS 1078,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,Because your staff are always friendly helpful and polite.
5365,NHFT 766 - Q2,NHFT,NHFT 766,13/09/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"All the staff have been so nice to me, and so helpful, and understanding, and this helped with my recovery. They were always there when I needed them. The newspapers everyday was amazing to be able to know what is happening, in the world outside of the hospital, is great. The care from staff, was great. Thank you, to all staff."
5046,NHFT 1702 - Q2,NHFT,NHFT 1702,19/01/2022,Local partnerships- MH,CAMHS,5,What was good?,Nothing.
101,NEAS PTS 834 - Q1,NEAS,NEAS PTS 834,31/12/2021,PTS  - Patient Transport,,1,FFT Why?,2 hours seem to be a long time to be ready for the ambulances to arrive.
5289,NHFT 228 - Q2,NHFT,NHFT 228,08/07/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"Given lots of time and opportunity to ask questions.
Patient and clear instruction to my mum which helped reduce her anxiety. "
2506,NHFT 765 - Q1,NHFT,NHFT 765,13/09/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,"Not being able to watch what I want to, on the tv, as it was a communal tv."
6188,NEAS S&C 2268 - Q1,NEAS,NEAS S&C 2268,08/10/2021,See and Convey,,1,FFT Why?,❤️
7383,NEAS PTS 1042 - Q2,NEAS,NEAS PTS 1042,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,"Because it’s the truth, I have no complaints at all."
5233,NHFT 48 - Q1,NHFT,NHFT 48,03/06/2021,Community health services,Specialist services,2,What could we do better?,Nothing.
4218,NEAS S&C 5786 - Q2,NEAS,NEAS S&C 5786,08/09/2022,See and Convey,,1,How could we improve?,Nothing 
326,NEAS PTS 1515 - Q1,NEAS,NEAS PTS 1515,31/05/2022,PTS  - Patient Transport,,1,FFT Why?,Nothing as far as I'm concerned.
5455,NHFT 974 - Q2,NHFT,NHFT 974,02/11/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"Very happy with this service, puts me at ease.  Very friendly girls so reassuring. "
1773,NHFT 1717 - Q1,NHFT,NHFT 1717,04/02/2022,Local partnerships- MH,Adult mental health,5,What could we do better?,"When my nurse comes to my house she always has her personal phone switched on, so we get disturbed when it rings. It should be off when seeing patients. I have spoken to many staff members during my time, and conversations feel scripted with a false tone of voice pretending to care. It doesn't feel personal and I feel like a number rather than an individual."
1020,NHFT 148 - Q2,NHFT,NHFT 148,07/07/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"Atmosphere was very good when the came in the room and they listened to any problems we might have had and they soon had us smiling again.
What you have achieved was excellent. "
1214,NHFT 1034 - Q2,NHFT,NHFT 1034,18/11/2021,Unknown,Unknown,1,What was good?,"Listened, worked together. I felt involved in my treatment. It's brilliant how physio, mental health, and pain medication are all treated together and all talk together."
5580,NHFT 1288 - Q2,NHFT,NHFT 1288,25/02/2022,Community health services,Specialist Services and CYP,1,What was good?,Medication recommended to me by dietitian worked well. I felt listened to at consultation and was comfortable talking to her.
736,NEAS S&C 4400 - Q2,NEAS,NEAS S&C 4400,03/05/2022,See and Convey,,1,How could we improve?,Nothing excellent service 
3080,NEAS 111 1916 - Q2,NEAS,NEAS 111 1916,27/04/2022,111,,1,How could we improve?,The nurse practitioner gave a quick and clear explanation of my eye problem. Her recommendation proved to be accurate as my eye healed as she suggested
7616,NEAS PTS 1753 - Q2,NEAS,NEAS PTS 1753,01/08/2022,PTS  - Patient Transport,,1,How could we improve?,"I used the volunteer driver service. They do a fantastic job, very aware of any dangers. Passenger care is first class."
7456,NEAS PTS 1267 - Q2,NEAS,NEAS PTS 1267,31/03/2022,PTS  - Patient Transport,,1,How could we improve?,Don’t know.
1322,NHFT 1262 - Q2,NHFT,NHFT 1262,15/02/2022,Local partnerships- MH,Mental health services for older people,2,What was good?,Nice to have someone calling to see me as I'm on my own. 
7375,NEAS PTS 1018 - Q2,NEAS,NEAS PTS 1018,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,I could not get to my appointment otherwise.
3179,NEAS 111 2279 - Q2,NEAS,NEAS 111 2279,30/06/2022,111,,1,How could we improve?,Worried about eye infection becoming more sore and causing eye to close.
1471,NHFT 381 - Q2,NHFT,NHFT 381,01/07/2021,Unknown,Unknown,1,What was good?,I was treated as an individual with care and consideration.
6615,NEAS S&C 5923 - Q1,NEAS,NEAS S&C 5923,16/08/2022,See and Convey,,2,FFT Why?,Was on hold 7 minutes before getting answered 
5363,NHFT 558 - Q2,NHFT,NHFT 558,13/09/2021,Forensic,Low secure and CFS,2,What was good?,Coming coffee bar while within COVID. 
2738,NHFT 1341 - Q2,NHFT,NHFT 1341,14/03/2022,Forensic,High secure MH,2,What was good?,Yes. 
